Employee Code,Total Working Days,Total Full Days,Half Days Due To Duration,Half Days Due To PunchMiss,Half Days Due To Lates,Total Half Days,Total Lates,Total Absent,Total Punch Missed,Total OT Days,Total Half OT Days,Total OT Hours
1145,22,12,0,0,0,0,1,0,0,7,0,0.00
1157,22,12,3,0,0,3,3,2,0,6,0,0.00
1167,22,11,8,0,1,9,0,1,1,6,0,0.00
1168,22,11,2,0,0,2,1,9,0,5,0,0.00
1169,22,9,6,0,1,7,4,6,1,5,0,0.00
1174,22,9,4,0,2,6,3,3,1,6,0,0.00
1176,22,11,3,0,2,5,5,5,2,6,1,0.00
1196,22,11,8,0,1,9,0,1,1,6,0,0.00
1321,22,12,0,0,0,0,0,0,0,7,0,0.00
1389,22,10,7,0,0,7,2,4,1,6,0,0.00
1406,22,0,0,0,0,0,0,26,0,0,0,0.00
1416,22,12,7,0,0,7,0,0,0,7,0,0.00
1417,22,11,0,0,0,0,0,4,0,6,0,0.00
1418,22,11,7,0,2,9,0,1,1,6,0,0.00
1419,22,13,5,0,0,5,0,0,0,7,0,0.00
1483,22,11,1,0,0,1,1,0,1,7,0,0.00
1485,22,10,5,0,0,5,2,7,1,5,0,0.00
1486,22,13,5,0,0,5,1,1,1,7,0,0.00
1489,22,10,6,0,0,6,1,6,1,5,0,0.00
1688,22,12,5,0,0,5,0,0,0,7,0,0.00
1689,22,0,0,0,0,0,0,26,0,0,0,0.00
1694,22,12,4,0,0,4,2,0,0,7,0,0.00
1695,22,0,0,0,0,0,0,26,0,0,0,0.00
1699,22,11,1,0,0,1,1,3,1,6,0,0.00
1789,22,0,0,0,0,0,0,26,0,0,0,0.00
1910,22,11,5,0,0,5,0,8,0,4,0,0.00
1911,22,11,3,0,0,3,0,1,0,7,0,0.00
1912,22,11,1,0,0,1,1,1,0,6,1,0.00
1913,22,13,1,0,0,1,2,0,1,6,1,0.00
1914,22,12,0,0,0,0,1,0,0,7,0,0.00
1915,22,12,5,0,0,5,0,0,0,7,0,0.00
1962,22,11,0,0,0,0,4,1,0,7,0,0.00
1963,22,12,1,0,0,1,1,1,1,6,0,0.00
5209,22,0,0,0,0,0,0,26,0,0,0,0.00
5210,22,11,1,0,1,2,0,9,1,5,0,0.00
5211,22,14,4,0,0,4,1,0,1,7,1,0.00
5212,22,0,0,0,0,0,0,26,0,0,0,0.00
5213,22,12,2,0,0,2,0,1,1,6,0,0.00
